x,y,phi_exact,dphi_dx,dphi_dy,laplacian
0.020202020202020204,0.5252525252525253,-0.020001784384343895,-0.9847651736412204,-0.7854126880589894,1.5792775935148873
0.020202020202020204,0.5353535353535354,-0.0278896508935881,-1.3731153369753821,-0.7758606023279154,2.202078569633623
0.020202020202020204,0.5454545454545455,-0.035665215622162384,-1.7559364494800491,-0.7631843997864319,2.8160125525623583
0.020202020202020204,0.5555555555555556,-0.04329716911524178,-2.131687025649485,-0.7474351230281869,3.418607446836004
0.020202020202020204,0.5656565656565657,-0.05075478018976025,-2.4988540505322887,-0.7286761888320763,4.007436815497446
0.020202020202020204,0.5757575757575758,-0.05800801967803784,-2.85595907210856,-0.7069831328052596,4.580129650502723
0.020202020202020204,0.5858585858585859,-0.06502768134464103,-3.201564154494406,-0.6824433052279276,5.134379919933643
0.020202020202020204,0.595959595959596,-0.07178549948958442,-3.5342776680022285,-0.6551555193245543,5.6679558535744015
0.020202020202020204,0.6060606060606061,-0.07825426276432788,-3.852759892742282,-0.6252296533779196,6.178708929462508
0.020202020202020204,0.6161616161616162,-0.08440792374227388,-4.155728413201862,-0.5927862082880421,6.664582525228489
0.020202020202020204,0.6262626262626263,-0.09022170380256041,-4.441963282079923,-0.5579558223575871,7.123620199388245
0.020202020202020204,0.6363636363636365,-0.09567219290482226,-4.710311932584314,-0.5208787452575285,7.553973569242431
0.020202020202020204,0.6464646464646465,-0.10073744385316062,-4.959693819411427,-0.481704273291226,7.953909753661169
0.020202020202020204,0.6565656565656566,-0.10539706066975546,-5.189104769720803,-0.4405901482309012,8.321818350784804
0.020202020202020204,0.6666666666666667,-0.10963228072226903,-5.397621026584709,-0.3977019221471973,8.656217922543764
0.020202020202020204,0.6767676767676768,-0.11342605027434433,-5.584402968631263,-0.35321229078942257,8.955761959886813
0.020202020202020204,0.686868686868687,-0.11676309315498254,-5.748698490903371,-0.3073003982007152,9.21924430469778
0.020202020202020204,0.696969696969697,-0.11962997227029169,-5.889846033319919,-0.2601511153682156,9.44560400656855
0.020202020202020204,0.7070707070707072,-0.12201514370992175,-6.007277244544748,-0.211954295812842,9.633929594871955
0.020202020202020204,0.7171717171717172,-0.12390900323031659,-6.100519270536864,-0.16290401111617872,9.783462748932225
0.020202020202020204,0.7272727272727273,-0.12530392492761352,-6.169196658566792,-0.11319776946270621,9.893601351514759
0.020202020202020204,0.7373737373737375,-0.1261942919444665,-6.21303286903219,-0.06303572034405407,9.963901913339694
0.020202020202020204,0.7474747474747475,-0.12657651908714806,-6.231851388985232,-0.012619848627641818,9.994081358856702
0.020202020202020204,0.7575757575757577,-0.1264490672618594,-6.225576442887946,0.03784683876509701,9.984018166090333
0.020202020202020204,0.7676767676767677,-0.12581244967211758,-6.194233297733563,0.0881611302959347,9.93375285596612
0.020202020202020204,0.7777777777777778,-0.12466922975226628,-6.1379481613052524,0.13812042807099226,9.8434878291471
0.020202020202020204,0.787878787878788,-0.12302401084543041,-6.056947673981921,0.18752356363095302,9.7135865510378
0.020202020202020204,0.797979797979798,-0.12088341766747804,-5.951557996137405,0.2361716079854446,9.544572088237315
0.020202020202020204,0.8080808080808082,-0.1182560696316277,-5.82220349480775,0.2838686726298768,9.337125002334739
0.020202020202020204,0.8181818181818182,-0.11515254614111375,-5.669405034914952,0.330422698319307,9.092080609527853
0.020202020202020204,0.8282828282828284,-0.11158534398966316,-5.4937778819277305,0.37564622842323775,8.810425617099595
0.020202020202020204,0.8383838383838385,-0.10756882704131804,-5.2960292244046565,0.41935716374730375,8.4932941502961
0.020202020202020204,0.8484848484848485,-0.10311916839222475,-5.076955326395419,0.46137949578245724,8.141963185604608
0.020202020202020204,0.8585858585858587,-0.09825428524728384,-4.837438321166531,0.5015440154291134,7.757847408819854
0.020202020202020204,0.8686868686868687,-0.09299376677388992,-4.578442659162022,0.539688994342471,7.34249351860369
0.020202020202020204,0.8787878787878789,-0.08735879522326796,-4.3010112245018695,0.5756608361554796,6.897573998475436
0.020202020202020204,0.888888888888889,-0.08137206063702444,-4.006261135655763,0.6093146949571947,6.424880382311092
0.020202020202020204,0.8989898989898991,-0.07505766948235736,-3.695379247201276,0.6405150585361418,5.926316040468676
